iter	RMSE
0	12133.33416
1	11696.44384
2	11280.87545
3	10927.4772
4	10608.34647
5	10337.32489
6	10036.26402
7	9805.836556
8	9585.574244
9	9388.089116
10	9208.695295
11	9054.404973
12	8930.299301
13	8817.068739
14	8707.579286
15	8607.090304
16	8522.51176
17	8429.699355
18	8361.539422
19	8302.607001
20	8219.398421
21	8167.266656
22	8123.012996
23	8067.693357
24	8022.073861
25	7970.103154
26	7930.375558
27	7897.949623
28	7859.676161
29	7826.278879
30	7795.373349
31	7769.880221
32	7743.599799
33	7719.72808
34	7697.433042
35	7667.124117
36	7648.343853
37	7625.843195
38	7604.644645
39	7589.416192
40	7574.508943
41	7549.861505
42	7530.562985
43	7516.663907
44	7500.783443
45	7482.402027
46	7468.042497
47	7455.910401
48	7445.155767
49	7427.354223
50	7405.401287
51	7394.518519
52	7377.451046
53	7363.457444
54	7352.214566
55	7340.947545
56	7331.395022
57	7316.437068
58	7305.661415
59	7292.597064
60	7284.449561
61	7273.283709
62	7261.937016
63	7250.397461
64	7240.272184
65	7236.021287
66	7223.993508
67	7217.949721
68	7207.149219
69	7198.736982
70	7190.504695
71	7173.878787
72	7159.01152
73	7147.146177
74	7131.55986
75	7124.902584
76	7119.004471
77	7108.139828
78	7097.742595
79	7091.710401
80	7081.853012
81	7074.111595
82	7064.681665
83	7061.180911
84	7056.191038
85	7048.485002
86	7038.837138
87	7028.652612
88	7021.723693
89	7018.017391
90	7008.109337
91	7003.712203
92	6998.525169
93	6990.469066
94	6975.371825
95	6968.803788
96	6960.111734
97	6954.77328
98	6948.216497
99	6934.842497
100	6931.006997
101	6924.669282
102	6917.419031
103	6913.439247
104	6906.827657
105	6899.151782
106	6893.783001
107	6886.045886
108	6881.65223
109	6875.093538
110	6866.87475
111	6859.00384
112	6851.195671
113	6840.608645
114	6833.902616
115	6830.130539
116	6824.846843
117	6815.02213
118	6804.499047
119	6793.79648
120	6790.649745
121	6785.275395
122	6780.774251
123	6776.462619
124	6770.048007
125	6767.301242
126	6761.865931
127	6757.44484
128	6752.601409
129	6745.876754
130	6733.930641
131	6729.890705
132	6725.420137
133	6722.470936
134	6718.445341
135	6716.417823
136	6711.987819
137	6708.792021
138	6702.806154
139	6698.103025
140	6695.323054
141	6691.194835
142	6688.931444
143	6685.282299
144	6679.154644
145	6671.617961
146	6667.178901
147	6659.44939
148	6653.75109
149	6650.20846
150	6646.073127
151	6640.987375
152	6638.016806
153	6633.109556
154	6627.529051
155	6623.713711
156	6619.04389
157	6615.279375
158	6612.532673
159	6608.769008
160	6605.110567
161	6598.161056
162	6593.996217
163	6589.893312
164	6582.473528
165	6580.272057
166	6578.042672
167	6575.562538
168	6571.620245
169	6568.883136
170	6565.7005
171	6562.454724
172	6556.366297
173	6553.497579
174	6548.039367
175	6544.596907
176	6540.861262
177	6537.919043
178	6534.558469
179	6531.868195
180	6529.418357
181	6524.819366
182	6522.477639
183	6519.11148
184	6516.267944
185	6512.402351
186	6506.131443
187	6501.889016
188	6498.119166
189	6493.918963
190	6489.482949
191	6485.38585
192	6482.249002
193	6477.484876
194	6473.651225
195	6470.149443
196	6468.946684
197	6461.029806
198	6458.536458
199	6456.227179
200	6448.815226
201	6446.882889
202	6444.392852
203	6437.589636
204	6435.207847
205	6431.787995
206	6426.21468
207	6421.535404
208	6418.598315
209	6415.256813
210	6410.022733
211	6405.971707
212	6403.89277
213	6400.379951
214	6397.508418
215	6395.101056
216	6391.786385
217	6387.737217
218	6385.086644
219	6380.481197
220	6377.082344
221	6374.332083
222	6371.313562
223	6368.26491
224	6365.9899
225	6359.834455
226	6352.390398
227	6346.375511
228	6343.063965
229	6340.607339
230	6337.413505
231	6334.353104
232	6331.612213
233	6327.11588
234	6322.31791
235	6317.84788
236	6311.95307
237	6309.035504
238	6303.997444
239	6300.179155
240	6298.193198
241	6294.506094
242	6288.594212
243	6285.621928
244	6281.633973
245	6276.295452
246	6273.815837
247	6269.854839
248	6264.14978
249	6262.141192
250	6258.627049
251	6253.705817
252	6250.743634
253	6244.208184
254	6237.467975
255	6234.57272
256	6230.608072
257	6228.526631
258	6225.579506
259	6222.502275
260	6219.536048
261	6216.461741
262	6214.194084
263	6212.38214
264	6210.251213
265	6205.726232
266	6202.780008
267	6199.505402
268	6194.036044
269	6190.772166
270	6188.646771
271	6185.37461
272	6181.953799
273	6179.296984
274	6176.356903
275	6174.000538
276	6169.202924
277	6167.333202
278	6163.891778
279	6159.261553
280	6156.892778
281	6154.490523
282	6151.008721
283	6149.043439
284	6146.630906
285	6141.400904
286	6138.839692
287	6133.449546
288	6130.446503
289	6127.086808
290	6123.690789
291	6120.505692
292	6117.981791
293	6114.955326
294	6113.693723
295	6110.171878
296	6108.148392
297	6106.64951
298	6101.979329
299	6098.921538
300	6095.579338
301	6094.108566
302	6090.393931
303	6087.931776
304	6084.117647
305	6081.930429
306	6078.396496
307	6075.98617
308	6072.651505
309	6069.824535
310	6067.64706
311	6065.165985
312	6060.251648
313	6056.043343
314	6053.44739
315	6051.780766
316	6047.738647
317	6044.462331
318	6043.309901
319	6041.180821
320	6038.708084
321	6036.289602
