iter	Passed	Remaining
0	18	18545
1	32	16042
2	44	14772
3	57	14224
4	71	14162
5	84	13919
6	99	14069
7	112	13993
8	125	13849
9	139	13787
10	154	13872
11	170	14049
12	185	14108
13	200	14099
14	214	14093
15	230	14194
16	245	14186
17	259	14140
18	271	14035
19	285	13989
20	300	14028
21	314	13987
22	327	13922
23	341	13896
24	355	13858
25	367	13765
26	382	13785
27	399	13853
28	413	13840
29	437	14160
30	451	14110
31	464	14044
32	478	14028
33	492	14003
34	508	14021
35	522	13992
36	537	13998
37	552	13976
38	566	13952
39	578	13875
40	592	13866
41	609	13899
42	622	13858
43	635	13817
44	650	13810
45	664	13784
46	677	13738
47	691	13709
48	706	13713
49	720	13682
50	734	13659
51	747	13633
52	763	13638
53	779	13647
54	791	13602
55	806	13599
56	821	13593
57	834	13560
58	849	13547
59	864	13546
60	878	13522
61	891	13482
62	904	13454
63	920	13459
64	935	13460
65	947	13411
66	961	13392
67	974	13362
68	987	13325
69	1002	13318
70	1018	13327
71	1033	13316
72	1047	13302
73	1061	13279
74	1075	13267
75	1090	13253
76	1103	13227
77	1117	13204
78	1131	13194
79	1146	13179
80	1160	13161
81	1175	13162
82	1188	13135
83	1202	13109
84	1215	13087
85	1229	13070
86	1244	13057
87	1258	13046
88	1274	13050
89	1288	13023
90	1303	13021
91	1317	13000
92	1330	12980
93	1342	12944
94	1357	12935
95	1371	12917
96	1385	12901
97	1407	12958
98	1422	12949
99	1439	12953
100	1454	12947
101	1468	12928
102	1482	12911
103	1496	12889
104	1510	12874
105	1522	12843
106	1536	12825
107	1553	12827
108	1568	12818
109	1589	12856
110	1607	12877
111	1624	12876
112	1640	12876
113	1656	12875
114	1672	12874
115	1687	12857
116	1702	12851
117	1716	12828
118	1730	12810
119	1745	12798
120	1759	12779
121	1773	12763
122	1787	12747
123	1802	12731
124	1814	12704
125	1829	12687
126	1843	12675
127	1856	12648
128	1872	12641
129	1886	12625
130	1900	12608
131	1917	12606
132	1930	12586
133	1943	12558
134	1958	12550
135	1971	12523
136	1986	12512
137	2000	12498
138	2016	12488
139	2029	12469
140	2042	12441
141	2055	12420
142	2070	12409
143	2083	12387
144	2099	12379
145	2114	12371
146	2129	12356
147	2143	12341
148	2156	12314
149	2169	12293
150	2184	12284
151	2198	12264
152	2213	12252
153	2227	12235
154	2241	12218
155	2254	12196
156	2268	12182
157	2282	12164
158	2298	12155
159	2310	12131
160	2326	12121
161	2341	12113
162	2355	12094
163	2368	12071
164	2390	12095
165	2403	12077
166	2416	12055
167	2429	12034
168	2444	12019
169	2460	12011
170	2473	11991
171	2488	11981
172	2502	11962
173	2517	11948
174	2531	11932
175	2544	11910
176	2557	11893
177	2571	11875
178	2585	11856
179	2598	11838
180	2609	11809
181	2625	11798
182	2638	11781
183	2652	11763
184	2666	11747
185	2681	11733
186	2695	11719
187	2710	11707
188	2722	11684
189	2737	11671
190	2753	11660
191	2766	11641
192	2780	11626
193	2795	11612
194	2808	11595
195	2821	11574
196	2835	11556
197	2849	11541
198	2862	11521
199	2876	11504
200	2893	11501
201	2908	11490
202	2922	11473
203	2934	11450
204	2948	11434
205	2962	11416
206	2976	11403
207	2991	11390
208	3005	11374
209	3017	11350
210	3032	11338
211	3045	11321
212	3060	11307
213	3074	11293
214	3090	11282
215	3105	11271
216	3119	11257
217	3136	11252
218	3150	11234
219	3162	11212
220	3176	11196
221	3190	11179
222	3204	11164
223	3218	11150
224	3232	11134
225	3246	11119
226	3258	11097
